0,290
15,290
28,291
0,123
72,130
0,35
97,49
7,500
9,499
26,499
31,500
18,491
19,451
21,413
22,411
27,334
26,332
29,284
30,281
33,278
36,276
40,275
47,272
53,268
57,262
61,257
63,252
64,248
66,218
67,215
66,212
64,205
71,133
53,293
82,295
38,415
82,418
87,261
91,252
83,295
84,295
87,349
114,420
64,343
67,348
103,296
122,298
84,497
85,500
119,351
97,237
102,231
120,230
102,252
101,49
105,49
109,50
117,51
118,51
118,53
115,103
115,107
122,135
119,252
120,242
106,242
116,393
144,421
117,379
124,394
124,379
118,359
124,359
120,339
125,339
124,230
127,231
131,135
133,137
189,142
122,140
126,163
126,205
126,206
126,229
142,299
147,299
124,389
144,395
124,382
124,386
135,380
124,373
134,389
124,369
140,374
135,386
124,364
141,370
141,365
138,360
139,340
128,231
149,230
151,230
180,229
144,390
140,380
138,355
141,360
169,357
138,350
138,346
169,352
169,348
169,342
147,381
168,362
164,422
135,472
159,473
166,396
147,390
166,391
147,387
166,388
167,382
149,279
160,300
172,301
151,252
167,247
178,248
174,281
157,500
157,497
211,500
156,0
202,7
215,477
162,448
218,451
222,426
165,409
205,411
205,398
222,385
223,367
223,349
197,303
220,304
185,282
188,249
180,227
180,224
183,200
190,229
231,205
187,156
185,276
221,284
187,268
222,279
187,259
222,270
235,160
223,261
189,240
223,252
200,28
258,149
224,242
219,230
224,231
209,28
270,15
212,411
213,399
210,17
241,19
239,31
212,500
212,499
213,489
222,412
222,399
257,492
256,479
217,463
256,466
256,453
220,439
257,441
222,304
224,304
259,286
255,427
259,281
255,413
259,273
255,401
256,387
225,261
260,264
258,370
258,354
260,254
260,244
237,305
259,307
260,237
231,211
230,223
257,225
258,213
232,201
258,203
233,189
234,179
259,191
234,170
259,182
259,172
259,162
268,34
269,22
255,422
255,423
257,427
255,392
258,385
258,500
262,426
268,150
261,307
264,307
261,452
261,450
261,435
272,453
263,460
262,479
268,480
262,421
267,413
276,428
262,388
263,395
263,371
281,390
283,374
263,355
263,341
286,358
264,328
288,343
290,330
279,308
293,309
265,287
264,493
288,497
295,289
265,271
298,274
266,243
301,247
266,223
304,228
266,208
267,192
306,213
267,174
271,193
267,163
274,175
275,164
278,414
277,151
290,483
278,16
284,16
355,25
288,195
294,456
290,178
292,166
297,431
314,155
281,112
299,417
281,78
281,73
286,66
286,64
277,111
324,84
303,393
319,117
307,361
286,26
287,37
289,53
288,56
288,59
308,67
288,500
288,498
308,198
289,493
289,488
290,486
311,489
311,331
291,473
293,460
312,169
305,310
315,311
293,458
315,461
295,444
317,290
298,425
319,433
301,405
303,236
306,372
309,393
325,394
304,232
324,239
325,235
310,344
330,360
326,70
311,45
330,201
309,500
352,492
313,475
312,330
312,329
313,321
334,325
354,478
336,157
316,301
317,293
326,309
337,307
356,464
339,289
317,291
321,265
360,435
321,420
341,120
323,407
362,422
363,410
325,237
365,397
327,377
326,227
327,219
348,73
368,377
329,210
349,222
332,343
370,359
333,178
373,339
376,319
340,133
357,304
379,301
381,283
346,241
344,99
347,238
386,244
351,49
368,224
388,226
352,500
380,476
412,481
357,11
358,1
353,500
412,491
358,450
373,465
374,451
507,20
358,0
375,436
417,426
418,414
419,401
367,384
420,385
369,371
421,371
423,357
372,345
424,341
374,332
413,467
425,326
416,438
378,305
427,311
402,297
429,293
431,275
387,236
389,244
433,247
405,237
406,227
428,239
428,229
461,483
463,482
415,467
463,463
414,453
463,449
464,434
464,422
464,410
442,398
440,370
466,353
466,337
467,321
423,500
446,497
561,478
581,475
467,305
446,241
446,231
449,290
467,287
468,269
435,247
460,249
439,0
440,4
465,368
441,384
442,9
458,6
465,0
465,382
465,396
466,233
468,250
463,248
464,248
465,482
512,474
511,459
511,445
510,431
509,418
508,406
508,393
507,378
506,365
474,234
506,350
503,299
483,285
502,282
540,257
473,250
540,255
473,248
529,239
554,240
617,244
619,244
521,279
542,276
542,293
504,0
505,6
507,13
540,7
547,345
548,359
523,22
542,24
553,25
575,25
626,23
549,372
550,387
553,427
554,442
556,468
575,258
540,17
565,17
563,8
559,273
579,270
543,291
581,287
543,305
544,316
582,300
583,312
545,323
545,332
570,320
571,328
546,343
585,339
588,381
578,425
564,467
565,467
565,472
562,0
595,6
565,23
566,474
577,474
581,472
584,326
577,256
613,259
614,260
614,264
578,258
592,424
596,267
605,283
596,471
597,474
610,474
630,474
666,473
582,308
602,305
598,317
583,320
595,337
631,375
637,420
595,0
600,6
621,4
597,350
626,333
642,469
627,345
598,361
629,357
607,295
620,281
616,264
617,264
620,264
623,263
652,236
624,281
620,0
641,260
652,258
659,255
622,267
625,281
663,275
626,294
627,302
647,290
649,299
634,22
666,15
631,332
628,313
666,307
629,321
666,315
636,374
666,327
655,371
637,384
641,420
656,381
638,393
657,390
639,401
640,410
659,399
660,408
642,431
661,417
647,469
644,442
663,429
645,454
664,441
644,244
654,242
665,451
666,469
648,0
656,14
658,15
666,13
666,296
666,228
666,370
666,380
666,389
666,398
663,254
666,253
666,407
666,417
664,274
666,273
666,429
666,440
666,451
666,462
353,0
666,297
666,465
